"Date: 2026-01-03+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"","Books","Atomic Habits","TEXT","","","N","","","","","5","0","2026-01-02T21:26:58+0000","","-1099511627776","America/New_York",,"false",,,"list","1",""
"","Books","Introduction: Opening Credits + My Story","TEXT","","","N","","","","","0","0","2026-01-02T21:43:32+0000","","16492674416640","America/New_York",,"false",,,"list","2","1"
"","Books","The Fundamentals: Why Tiny Changes Make a Big Difference","TEXT","","","N","","","","","0","0","2026-01-02T21:41:47+0000","","20890720927744","America/New_York",,"false",,,"list","3","1"
"","Books","The 1st Law: Make It Obvious","TEXT","","","N","","","","","0","0","2026-01-02T21:42:11+0000","","21990232555520","America/New_York",,"false",,,"list","4","1"
"","Books","The 2nd Law: Make It Attractive","TEXT","","","N","","","","","0","0","2026-01-02T21:42:15+0000","","23089744183296","America/New_York",,"false",,,"list","5","1"
"","Books","The 3rd Law: Make It Easy","TEXT","","","N","","","","","0","0","2026-01-02T21:42:31+0000","","24189255811072","America/New_York",,"false",,,"list","6","1"
"","Books","The 4th Law: Make It Satisfying","TEXT","","","N","","","","","0","0","2026-01-02T21:42:37+0000","","25288767438848","America/New_York",,"false",,,"list","7","1"
"","Books","Advanced Tactics: How to Go from Being Merely Good to Being Truly Great","TEXT","","","N","","","","","0","0","2026-01-02T21:42:55+0000","","26388279066624","America/New_York",,"false",,,"list","8","1"
"","Books","Conclusion: The Secret to Results That Last","TEXT","","","N","","","","","0","0","2026-01-02T21:43:18+0000","","27487790694400","America/New_York",,"false",,,"list","9","1"
"","Books","Chapter 1 – The Surprising Power of Atomic Habits","TEXT","","","N","","","","","0","0","2026-01-02T21:46:33+0000","","28587302322176","America/New_York",,"false",,,"list","10","3"
"","Books","Chapter 2 – How Your Habits Shape Your Identity (and Vice Versa)","TEXT","","","N","","","","","0","0","2026-01-02T21:46:36+0000","","29686813949952","America/New_York",,"false",,,"list","11","3"
"","Books","Chapter 3 – How to Build Better Habits in 4 Simple Steps","TEXT","","","N","","","","","0","0","2026-01-02T21:46:36+0000","","30786325577728","America/New_York",,"false",,,"list","12","3"
"","Books","Chapter 4 – The Man Who Didn’t Look Right","TEXT","","","N","","","","","0","0","2026-01-02T21:48:10+0000","","31885837205504","America/New_York",,"false",,,"list","13","4"
"","Books","Chapter 5 – The Best Way to Start a New Habit","TEXT","","","N","","","","","0","0","2026-01-02T21:48:12+0000","","32985348833280","America/New_York",,"false",,,"list","14","4"
"","Books","Chapter 6 – Motivation Is Overrated; Environment Often Matters More","TEXT","","","N","","","","","0","0","2026-01-02T21:48:12+0000","","34084860461056","America/New_York",,"false",,,"list","15","4"
"","Books","Chapter 7 – The Secret to Self-Control","TEXT","","","N","","","","","0","0","2026-01-02T21:48:12+0000","","35184372088832","America/New_York",,"false",,,"list","16","4"
"","Books","Chapter 8 – How to Make a Habit Irresistible","TEXT","","","N","","","","","0","0","2026-01-02T21:48:31+0000","","36283883716608","America/New_York",,"false",,,"list","17","5"
"","Books","Chapter 9 – The Role of Family and Friends in Shaping Your Habits","TEXT","","","N","","","","","0","0","2026-01-02T21:48:34+0000","","37383395344384","America/New_York",,"false",,,"list","18","5"
"","Books","Chapter 10 – How to Find and Fix the Causes of Your Bad Habits","TEXT","","","N","","","","","0","0","2026-01-02T21:48:34+0000","","38482906972160","America/New_York",,"false",,,"list","19","5"
"","Books","Chapter 11 – Walk Slowly, but Never Backward","TEXT","","","N","","","","","0","0","2026-01-02T21:48:44+0000","","39582418599936","America/New_York",,"false",,,"list","20","6"
