"Date: 2026-01-03+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"","Books","Atomic Habits","TEXT","","","N","2024-01-04T12:23:09+0000","2024-01-04T12:23:09+0000","","","5","2","2024-01-04T12:23:09+0000","2024-01-04T12:38:09+0000","-1099511627776","America/New_York","","false","","","list","1",""
"","Books","Introduction: Opening Credits + My Story","TEXT","","","N","2024-01-01T10:02:40+0000","2024-01-01T10:02:40+0000","","","0","2","2024-01-01T10:02:40+0000","2024-01-01T10:17:40+0000","16492674416640","America/New_York","","false","","","list","2","1"
"","Books","The Fundamentals: Why Tiny Changes Make a Big Difference","TEXT","","","N","2024-01-01T11:51:01+0000","2024-01-01T11:51:01+0000","","","0","2","2024-01-01T11:51:01+0000","2024-01-01T12:06:01+0000","20890720927744","America/New_York","","false","","","list","3","1"
"","Books","The 1st Law: Make It Obvious","TEXT","","","N","2024-01-02T10:24:32+0000","2024-01-02T10:24:32+0000","","","0","2","2024-01-02T10:24:32+0000","2024-01-02T10:39:32+0000","21990232555520","America/New_York","","false","","","list","4","1"
"","Books","The 2nd Law: Make It Attractive","TEXT","","","N","2024-01-02T11:58:42+0000","2024-01-02T11:58:42+0000","","","0","2","2024-01-02T11:58:42+0000","2024-01-02T12:13:42+0000","23089744183296","America/New_York","","false","","","list","5","1"
"","Books","The 3rd Law: Make It Easy","TEXT","","","N","2024-01-03T11:20:04+0000","2024-01-03T11:20:04+0000","","","0","2","2024-01-03T11:20:04+0000","2024-01-03T11:35:04+0000","24189255811072","America/New_York","","false","","","list","6","1"
"","Books","The 4th Law: Make It Satisfying","TEXT","","","N","2024-01-04T10:27:39+0000","2024-01-04T10:27:39+0000","","","0","2","2024-01-04T10:27:39+0000","2024-01-04T10:42:39+0000","25288767438848","America/New_York","","false","","","list","7","1"
"","Books","Advanced Tactics: How to Go from Being Merely Good to Being Truly Great","TEXT","","","N","2024-01-04T12:01:25+0000","2024-01-04T12:01:25+0000","","","0","2","2024-01-04T12:01:25+0000","2024-01-04T12:16:25+0000","26388279066624","America/New_York","","false","","","list","8","1"
"","Books","Conclusion: The Secret to Results That Last","TEXT","","","N","2024-01-04T12:23:09+0000","2024-01-04T12:23:09+0000","","","0","2","2024-01-04T12:23:09+0000","2024-01-04T12:38:09+0000","27487790694400","America/New_York","","false","","","list","9","1"
"","Books","Chapter 1 – The Surprising Power of Atomic Habits","TEXT","","","N","2024-01-01T10:42:24+0000","2024-01-01T10:42:24+0000","","","0","2","2024-01-01T10:42:24+0000","2024-01-01T10:57:24+0000","28587302322176","America/New_York","","false","","","list","10","3"
"","Books","Chapter 2 – How Your Habits Shape Your Identity (and Vice Versa)","TEXT","","","N","2024-01-01T11:17:11+0000","2024-01-01T11:17:11+0000","","","0","2","2024-01-01T11:17:11+0000","2024-01-01T11:32:11+0000","29686813949952","America/New_York","","false","","","list","11","3"
"","Books","Chapter 3 – How to Build Better Habits in 4 Simple Steps","TEXT","","","N","2024-01-01T11:51:01+0000","2024-01-01T11:51:01+0000","","","0","2","2024-01-01T11:51:01+0000","2024-01-01T12:06:01+0000","30786325577728","America/New_York","","false","","","list","12","3"
"","Books","Chapter 4 – The Man Who Didn’t Look Right","TEXT","","","N","2024-01-01T12:19:11+0000","2024-01-01T12:19:11+0000","","","0","2","2024-01-01T12:19:11+0000","2024-01-01T12:34:11+0000","31885837205504","America/New_York","","false","","","list","13","4"
